sweep_type,experiment,model,model_label,parameter_name,parameter_value,n_trials,mean_accuracy,std_accuracy,ci95_accuracy_low,ci95_accuracy_high,mean_error_rate,std_error_rate,mean_latency_ms,std_latency_ms,median_latency_ms,p95_latency_ms,mean_inference_steps
interference,interference,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_overwrites,4,30,0.3333,0.4795,0.1618,0.5049,0.6667,0.4795,6.959,4.366,4.681,15.57,1.0
interference,interference,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_overwrites,6,30,0.3333,0.4795,0.1618,0.5049,0.6667,0.4795,9.013,6.453,5.25,21.907,1.0
interference,interference,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_overwrites,8,30,0.1,0.3051,0.0,0.2092,0.9,0.3051,10.029,6.449,6.918,27.046,1.0
interference,interference,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_overwrites,10,30,0.3,0.4661,0.1332,0.4668,0.7,0.4661,11.535,7.45,8.206,30.505,1.0
interference,interference,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_overwrites,1,30,0.0333,0.1826,0.0,0.0987,0.9667,0.1826,1.579,0.329,1.44,2.175,1.0
interference,interference,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_overwrites,2,30,0.0,0.0,0.0,0.0,1.0,0.0,2.39,0.267,2.311,2.882,1.0
interference,interference,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_overwrites,3,30,0.0333,0.1826,0.0,0.0987,0.9667,0.1826,5.371,3.248,3.175,10.096,1.0
interference,interference,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_overwrites,4,30,0.0,0.0,0.0,0.0,1.0,0.0,7.082,4.312,4.064,12.832,1.0
interference,interference,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_overwrites,6,30,0.0,0.0,0.0,0.0,1.0,0.0,9.56,5.676,5.717,17.746,1.0
interference,interference,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_overwrites,8,30,0.0,0.0,0.0,0.0,1.0,0.0,11.465,6.943,7.478,22.88,1.0
interference,interference,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_overwrites,10,30,0.0,0.0,0.0,0.0,1.0,0.0,13.277,7.874,9.291,29.394,1.0
interference,interference,full_history_reference_baseline,Full-History KV Cache [O(T)],num_overwrites,1,30,1.0,0.0,1.0,1.0,0.0,0.0,1.087,0.455,0.996,1.57,1.0
interference,interference,full_history_reference_baseline,Full-History KV Cache [O(T)],num_overwrites,2,30,0.5333,0.5074,0.3518,0.7149,0.4667,0.5074,2.202,1.753,1.481,5.684,1.0
interference,interference,full_history_reference_baseline,Full-History KV Cache [O(T)],num_overwrites,3,30,0.3,0.4661,0.1332,0.4668,0.7,0.4661,2.373,0.98,2.304,2.626,1.0
interference,interference,full_history_reference_baseline,Full-History KV Cache [O(T)],num_overwrites,4,30,0.1667,0.379,0.031,0.3023,0.8333,0.379,4.613,3.489,2.522,10.389,1.0
interference,interference,full_history_reference_baseline,Full-History KV Cache [O(T)],num_overwrites,6,30,0.2,0.4068,0.0544,0.3456,0.8,0.4068,6.482,3.695,4.367,13.916,1.0
interference,interference,full_history_reference_baseline,Full-History KV Cache [O(T)],num_overwrites,8,30,0.0667,0.2537,0.0,0.1575,0.9333,0.2537,7.773,5.121,5.612,18.95,1.0
interference,interference,full_history_reference_baseline,Full-History KV Cache [O(T)],num_overwrites,10,30,0.1,0.3051,0.0,0.2092,0.9,0.3051,8.973,6.464,6.259,24.223,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,1,30,1.0,0.0,1.0,1.0,0.0,0.0,2.727,1.211,3.53,3.77,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,2,30,0.4333,0.504,0.253,0.6137,0.5667,0.504,3.83,1.878,5.377,5.65,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,4,30,0.1333,0.3457,0.0096,0.2571,0.8667,0.3457,6.146,3.292,6.626,9.613,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,8,30,0.0667,0.2537,0.0,0.1575,0.9333,0.2537,7.562,4.752,5.144,17.039,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,12,30,0.1333,0.3457,0.0096,0.2571,0.8667,0.3457,8.829,5.97,6.83,25.419,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,16,30,0.1333,0.3457,0.0096,0.2571,0.8667,0.3457,10.937,6.575,8.268,26.961,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,24,30,0.0333,0.1826,0.0,0.0987,0.9667,0.1826,16.865,10.879,12.758,43.538,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,32,30,0.0,0.0,0.0,0.0,1.0,0.0,17.848,6.573,15.044,33.264,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,1,30,0.7333,0.4498,0.5724,0.8943,0.2667,0.4498,0.927,0.135,0.932,1.163,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,2,30,0.3,0.4661,0.1332,0.4668,0.7,0.4661,3.349,1.331,4.136,4.534,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,4,30,0.0667,0.2537,0.0,0.1575,0.9333,0.2537,4.723,2.51,5.661,7.235,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,8,30,0.0,0.0,0.0,0.0,1.0,0.0,7.674,4.132,5.825,12.512,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,12,30,0.0333,0.1826,0.0,0.0987,0.9667,0.1826,10.263,6.081,6.014,17.841,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,16,30,0.0,0.0,0.0,0.0,1.0,0.0,13.407,7.76,8.093,22.941,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,24,30,0.0,0.0,0.0,0.0,1.0,0.0,21.605,10.959,22.261,35.508,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,32,30,0.0333,0.1826,0.0,0.0987,0.9667,0.1826,27.391,14.487,20.868,44.688,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,1,30,1.0,0.0,1.0,1.0,0.0,0.0,0.709,0.11,0.685,0.841,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,2,30,1.0,0.0,1.0,1.0,0.0,0.0,1.959,1.134,1.08,3.44,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,4,30,1.0,0.0,1.0,1.0,0.0,0.0,3.896,2.0,5.444,5.876,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,8,30,1.0,0.0,1.0,1.0,0.0,0.0,3.686,2.774,2.896,9.941,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,12,30,1.0,0.0,1.0,1.0,0.0,0.0,5.176,3.429,4.184,14.272,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,16,30,1.0,0.0,1.0,1.0,0.0,0.0,8.363,5.949,4.869,18.991,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,24,30,1.0,0.0,1.0,1.0,0.0,0.0,10.488,7.814,6.696,28.0,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,32,30,1.0,0.0,1.0,1.0,0.0,0.0,12.094,8.365,8.661,34.051,1.0
sequence_length,long_horizon_recall,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],sequence_length,16,30,0.2667,0.4498,0.1057,0.4276,0.7333,0.4498,7.344,4.869,4.534,15.269,1.0
sequence_length,long_horizon_recall,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],sequence_length,32,30,0.1667,0.379,0.031,0.3023,0.8333,0.379,10.05,7.016,6.559,25.725,1.0
sequence_length,long_horizon_recall,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],sequence_length,64,30,0.3333,0.4795,0.1618,0.5049,0.6667,0.4795,15.336,9.792,11.353,41.686,1.0
sequence_length,long_horizon_recall,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],sequence_length,128,30,0.3667,0.4901,0.1913,0.5421,0.6333,0.4901,25.95,13.495,22.114,41.831,1.0
sequence_length,long_horizon_recall,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],sequence_length,256,30,0.2,0.4068,0.0544,0.3456,0.8,0.4068,47.699,13.939,43.943,56.262,1.0
sequence_length,long_horizon_recall,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],sequence_length,512,30,0.2333,0.4302,0.0794,0.3873,0.7667,0.4302,87.36,20.374,83.225,90.107,1.0
sequence_length,long_horizon_recall,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],sequence_length,1024,30,0.3,0.4661,0.1332,0.4668,0.7,0.4661,178.482,19.906,171.774,211.027,1.0
sequence_length,long_horizon_recall,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],sequence_length,16,30,0.1333,0.3457,0.0096,0.2571,0.8667,0.3457,7.615,4.248,4.598,12.75,1.0
sequence_length,long_horizon_recall,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],sequence_length,32,30,0.0,0.0,0.0,0.0,1.0,0.0,11.269,7.121,7.003,23.957,1.0
sequence_length,long_horizon_recall,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],sequence_length,64,30,0.0,0.0,0.0,0.0,1.0,0.0,24.544,13.453,17.458,43.968,1.0
sequence_length,long_horizon_recall,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],sequence_length,128,30,0.0,0.0,0.0,0.0,1.0,0.0,46.804,21.1,44.959,81.176,1.0
sequence_length,long_horizon_recall,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],sequence_length,256,30,0.0,0.0,0.0,0.0,1.0,0.0,90.079,23.696,98.664,116.55,1.0
sequence_length,long_horizon_recall,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],sequence_length,512,30,0.0,0.0,0.0,0.0,1.0,0.0,366.892,183.345,490.869,559.776,1.0
sequence_length,long_horizon_recall,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],sequence_length,1024,30,0.0,0.0,0.0,0.0,1.0,0.0,509.44,375.179,275.095,1087.229,1.0
sequence_length,long_horizon_recall,full_history_reference_baseline,Full-History KV Cache [O(T)],sequence_length,16,30,1.0,0.0,1.0,1.0,0.0,0.0,3.103,0.629,2.974,3.3,1.0
sequence_length,long_horizon_recall,full_history_reference_baseline,Full-History KV Cache [O(T)],sequence_length,32,30,1.0,0.0,1.0,1.0,0.0,0.0,7.554,4.125,5.639,17.019,1.0
sequence_length,long_horizon_recall,full_history_reference_baseline,Full-History KV Cache [O(T)],sequence_length,64,30,1.0,0.0,1.0,1.0,0.0,0.0,11.63,8.001,8.319,30.786,1.0
sequence_length,long_horizon_recall,full_history_reference_baseline,Full-History KV Cache [O(T)],sequence_length,128,30,1.0,0.0,1.0,1.0,0.0,0.0,18.573,7.406,16.093,22.554,1.0
sequence_length,long_horizon_recall,full_history_reference_baseline,Full-History KV Cache [O(T)],sequence_length,256,30,1.0,0.0,1.0,1.0,0.0,0.0,34.116,3.116,33.189,41.219,1.0
sequence_length,long_horizon_recall,full_history_reference_baseline,Full-History KV Cache [O(T)],sequence_length,512,30,1.0,0.0,1.0,1.0,0.0,0.0,68.655,13.506,65.823,77.199,1.0
sequence_length,long_horizon_recall,full_history_reference_baseline,Full-History KV Cache [O(T)],sequence_length,1024,30,1.0,0.0,1.0,1.0,0.0,0.0,234.468,19.884,234.796,260.478,1.0
